created,temperature,humidity,co,h2s,no2,sgp30_tvoc,sgp30_co2,nh3,pm_mass_1_0,pm_mass_2_5,pm_mass_4_0,pm_mass_10,pm_number_0_5,pm_number_1_0,pm_number_2_5,pm_number_4_0,pm_number_10,led_status
2020-12-07 20:08,25.10563087,20.42246437,4171,71,167,365,400,51.21212387,13.47120571,14.42400837,14.56867504,14.59759712,91.72258759,106.9112854,107.5000153,107.5644836,107.5877686,0
2020-12-07 19:58,25.1351223,20.60206223,4248,67,155,388,400,50.90908813,13.50705719,14.36992359,14.44011784,14.45414734,92.16159821,107.2873688,107.7921066,107.8416977,107.8625259,0
2020-12-07 19:48,25.20750809,20.80494118,4431,62,126,413,434,48.48484802,14.65477467,15.64627838,15.76721668,15.79139423,99.87613678,116.3489838,116.9477997,117.0106049,117.0347137,0
2020-12-07 19:38,25.22895622,21.05488205,'-1762,65,152,432,488,50,14.55349827,15.40349102,15.41461277,15.41682339,99.4697113,115.6782227,116.1483307,116.188797,116.2090454,0
2020-12-07 19:28,25.34423637,21.25915146,'-1874,37,143,453,526,48.18181992,14.31204128,15.23360538,15.31387711,15.32991791,97.63884735,113.674202,114.2157593,114.2694931,114.2917404,0
2020-12-07 19:18,25.4112606,21.5761013,'-1964,16,158,486,579,52.72727585,13.53066158,14.3862257,14.44941902,14.46205425,92.3412323,107.4835815,107.9810638,108.0293121,108.0499268,0
2020-12-07 19:08,25.45147514,21.54313278,'-1340,22,143,476,571,51.51515579,14.41400146,15.39987659,15.52745628,15.55295658,98.21272278,114.4268494,115.0256805,115.0891953,115.1131897,0
2020-12-07 18:58,25.55603409,21.9583683,'-1590,12,152,523,702,51.21212387,13.53623581,14.39839268,14.4666748,14.48032284,92.3660965,107.5216751,108.0251389,108.0744171,108.0952072,0
2020-12-07 18:48,25.6579113,22.07203293,'-1421,4,146,546,740,50.90908813,14.03370953,14.84052086,14.84086037,14.84091854,95.94410706,111.5593948,112.0008469,112.0377808,112.0569611,0
2020-12-07 18:18,25.61501503,22.08626366,'-1722,'-14,146,551,694,50.30303192,14.55608749,15.60486126,15.77673149,15.81110382,99.06877899,115.5021744,116.156105,116.2288971,116.2545853,0
2020-12-07 18:08,25.5024147,22.11952019,'-1885,2,161,596,738,50.60606003,14.10245514,15.10085487,15.25304794,15.2834816,96.01864624,111.9201279,112.537323,112.6049652,112.6293564,0
2020-12-07 17:58,25.3737278,21.80282021,'-1407,'-5,129,603,712,48.78787994,16.1832962,17.28083611,17.41650963,17.44363403,110.2878876,128.4818268,129.1455231,129.2153015,129.2419891,0
2020-12-07 17:48,25.23431778,21.74085617,4433,14,155,614,723,49.69696808,16.79533577,17.86844254,17.95588684,17.97335434,114.5978622,133.4061737,134.0339813,134.0956573,134.1215515,0
2020-12-07 17:38,25.01984024,21.59791756,3729,'-2,143,662,776,46.0606041,16.77600288,18.01553917,18.23857307,18.2831707,114.1125793,133.0866394,133.8688202,133.9577179,133.9881592,0
2020-12-07 17:28,24.9152813,21.08574867,3994,'-19,152,653,774,47.87879181,17.77057266,19.19114113,19.51443481,19.57907295,120.6511078,140.8702393,141.7982788,141.9099579,141.9451294,0
2020-12-07 17:18,24.82144737,19.90154076,3969,'-57,131,423,465,47.87879181,17.38455391,18.72831345,19.00738907,19.06318855,118.1271439,137.8557129,138.7210541,138.8228455,138.8560181,0
2020-12-07 16:48,25.03056335,19.58826256,4567,'-162,175,427,417,50,20.55463982,22.2276783,22.62582588,22.70543289,139.4901428,162.9103851,164.0114746,164.1455231,164.187027,0
2020-12-07 16:38,25.1994648,19.49079132,3960,'-195,170,430,405,47.87879181,21.35632706,22.92304611,23.19786263,23.25281143,145.2922668,169.4341888,170.4195099,170.5308533,170.5692902,0
2020-12-07 16:18,25.22627449,20.55016136,'-1305,'-205,152,567,570,52.72727585,20.96626282,22.43269157,22.64447594,22.68683052,142.7896271,166.4104919,167.3115387,167.4091797,167.4449615,0
2020-12-07 16:08,25.34959984,20.73566055,'-1402,'-219,140,633,632,50,20.0644989,21.47271538,21.67933464,21.72064018,136.6379547,159.2483521,160.115097,160.2093506,160.2437286,0
2020-12-07 15:58,25.39517593,20.96675491,'-1805,'-267,164,626,627,51.8181839,20.36761284,21.7626133,21.94443321,21.98077583,138.7748413,161.6882477,162.5362091,162.6262512,162.660202,0
2020-12-07 15:39,25.59356689,22.71292305,'-1717,'-235,158,923,824,54.84848404,18.71425438,19.91368103,20.01411247,20.03419495,127.6831818,148.6445618,149.3475189,149.4168549,149.445816,0
2020-12-07 15:29,25.67935753,22.86882591,'-2051,'-218,170,1072,877,52.42424393,18.65779305,19.83143425,19.91362953,19.93004799,127.344696,148.2180481,148.8983765,148.9639282,148.9921722,0
2020-12-07 15:09,25.91796494,22.98972511,'-2122,'-203,181,1652,1155,53.63636398,20.1748333,21.3348484,21.33546257,21.3355732,137.9287567,160.3774261,161.0121918,161.0652924,161.0928802,0
2020-12-07 14:59,26.04128838,23.3017025,'-2203,'-187,193,1005,911,53.9393959,19.55205536,20.82530594,20.94652557,20.97074509,133.3569031,155.2791748,156.0322266,156.1079407,156.1387329,0
2020-12-07 14:19,25.97158432,23.54729271,'-1953,'-191,164,634,746,51.51515579,21.28356743,22.76797867,22.97957802,23.02186966,144.9594727,168.9331207,169.8439026,169.942337,169.9785461,0
2020-12-07 14:09,25.90992165,23.79754066,'-1761,'-161,178,727,842,55.4545517,18.2895546,19.39535141,19.43976593,19.44864082,124.9255066,145.3369751,145.9625549,146.019516,146.0460052,0
2020-12-07 13:59,25.69544411,23.75001144,'-1756,'-168,184,1040,911,52.12121582,19.41899681,20.71139336,20.85429192,20.88286209,132.3907623,154.1949158,154.9685669,155.0483093,155.0796661,0
2020-12-07 13:29,25.71153069,23.72025681,'-1448,'-115,205,585,758,53.33333588,21.04260826,22.44956017,22.60965919,22.64167595,143.446167,167.0806274,167.9249573,168.0124359,168.0465851,0
2020-12-07 13:19,25.55871391,23.8380909,'-1679,'-101,181,580,722,53.63636398,20.39212418,21.68795586,21.78837204,21.80844116,139.1544037,161.982666,162.7383575,162.8121033,162.8433533,0
2020-12-07 13:09,25.40053749,23.97470665,'-1609,'-106,175,605,735,50.30303192,20.76414299,22.23614311,22.46183395,22.50695801,141.3715668,164.7867737,165.6973267,165.7972565,165.8332214,0
2020-12-07 12:59,25.40053749,24.0481472,'-1938,'-86,190,685,875,52.42424393,20.78813744,22.18841934,22.35495567,22.38824844,141.6896667,165.0498657,165.8935699,165.9816437,166.0156708,0
2020-12-07 12:49,25.44343376,24.00108719,'-1805,'-82,181,638,792,53.9393959,22.94893837,24.37673569,24.46505737,24.48270416,156.6662292,182.3226624,183.1448669,183.2229004,183.2572327,0
2020-12-07 12:39,25.4380703,24.2651844,'-979,'-41,173,741,904,54.84848404,23.19709206,24.67145348,24.7859211,24.80878448,158.294693,184.2633362,185.12323,185.2071686,185.2427216,0
